UTENTE,OPERA,IS_PAINTING,RATING
worker_1,577284aeedc2cb3880fe8ca7,yes,0
worker_1,57728500edc2cb3880ffb2bc,yes,-2
worker_1,57728030edc2cb3880f07e00,yes,0
worker_1,57726f0dedc2cb3880b94625,yes,3
worker_1,57728703edc2cb3880061039,yes,3
worker_2,577284aeedc2cb3880fe8ca7,yes,-2
worker_2,57728500edc2cb3880ffb2bc,yes,-3
worker_2,57726f0dedc2cb3880b94625,yes,3
worker_2,57728703edc2cb3880061039,yes,2
worker_3,577284aeedc2cb3880fe8ca7,yes,0
worker_3,57728500edc2cb3880ffb2bc,yes,0
worker_3,57728030edc2cb3880f07e00,yes,0
worker_3,57726f0dedc2cb3880b94625,yes,1
worker_3,57728703edc2cb3880061039,yes,0
worker_4,577284aeedc2cb3880fe8ca7,yes,3
worker_4,57728500edc2cb3880ffb2bc,yes,3
worker_4,57726f0dedc2cb3880b94625,yes,3
worker_4,57728703edc2cb3880061039,yes,2
worker_5,577284aeedc2cb3880fe8ca7,yes,3
worker_5,57728500edc2cb3880ffb2bc,yes,-1
worker_5,57726f0dedc2cb3880b94625,yes,3
worker_5,57728703edc2cb3880061039,yes,3
worker_6,577284aeedc2cb3880fe8ca7,yes,1
worker_6,57728500edc2cb3880ffb2bc,yes,-1
worker_6,57726f0dedc2cb3880b94625,yes,1
worker_6,57728703edc2cb3880061039,yes,-2
worker_7,577284aeedc2cb3880fe8ca7,yes,2
worker_7,57728500edc2cb3880ffb2bc,yes,-3
worker_7,57726f0dedc2cb3880b94625,yes,3
worker_7,57728703edc2cb3880061039,yes,-3
worker_8,577284aeedc2cb3880fe8ca7,yes,1
worker_8,57728500edc2cb3880ffb2bc,yes,1
worker_8,57726f0dedc2cb3880b94625,yes,1
worker_8,57728703edc2cb3880061039,yes,0
worker_9,577284aeedc2cb3880fe8ca7,yes,-3
worker_9,57728500edc2cb3880ffb2bc,yes,0
worker_9,57726f0dedc2cb3880b94625,yes,1
worker_9,57728703edc2cb3880061039,yes,0
worker_10,577284aeedc2cb3880fe8ca7,yes,0
worker_10,57728500edc2cb3880ffb2bc,yes,2
worker_10,57726f0dedc2cb3880b94625,yes,0
worker_10,57728703edc2cb3880061039,yes,1
worker_11,57728095edc2cb3880f1c3f4,yes,1
worker_11,57726f0fedc2cb3880b94ae6,yes,3
worker_11,57726e8dedc2cb3880b76528,yes,-3
worker_11,5772850cedc2cb3880ffc52b,yes,2
worker_11,57727334edc2cb3880c7ea9a,yes,2
worker_12,57728095edc2cb3880f1c3f4,yes,0
worker_12,57726f0fedc2cb3880b94ae6,yes,2
worker_12,57726e8dedc2cb3880b76528,yes,0
worker_12,5772850cedc2cb3880ffc52b,yes,1
worker_12,57727334edc2cb3880c7ea9a,yes,2
worker_13,57728095edc2cb3880f1c3f4,yes,-2
worker_13,57726f0fedc2cb3880b94ae6,yes,2
worker_13,57726e8dedc2cb3880b76528,yes,2
worker_13,5772850cedc2cb3880ffc52b,yes,3
worker_13,57727334edc2cb3880c7ea9a,yes,2
worker_14,57728095edc2cb3880f1c3f4,yes,-1
