0,religious painting
1,genre painting
2,portrait
3,landscape
4,nude painting (nu)
5,mythological painting
6,abstract
7,cityscape
8,self-portrait
9,marina
10,still life
11,sketch and study
12,symbolic painting
13,figurative
14,flower painting
15,illustration
16,animal painting
17,design
18,battle painting
19,installation
20,history painting
21,literary painting
22,interior
23,photo
24,sculpture
25,pastorale
26,allegorical painting
27,capriccio
28,quadratura
29,veduta
30,cloudscape
31,caricature
32,wildlife painting
33,tapestry
34,poster
35,vanitas
36,advertisement
