0,high renaissance
1,early renaissance
2,expressionism
3,rococo
4,post-impressionism
5,cubism
6,northern renaissance
7,realism
8,pop art
9,surrealism
10,neoclassicism
11,abstract art
12,impressionism
13,romanticism
14,abstract expressionism
15,mannerism (late renaissance)
16,baroque
17,neo-expressionism
18,color field painting
19,magic realism
20,minimalism
21,lyrical abstraction
22,art informel
23,constructivism
24,feminist art
25,art nouveau (modern)
26,nouveau réalisme
27,hard edge painting
28,naïve art (primitivism)
29,neo-dada
30,muralism
31,contemporary realism
32,kitsch
33,conceptual art
34,metaphysical art
35,academicism
36,ink and wash painting
37,concretism
38,dada
39,orientalism
40,outsider art
41,environmental (land) art
42,fauvism
43,transavantgarde
44,post-minimalism
