,user,artwork,score
0,worker_1,577284aeedc2cb3880fe8ca7,0
1,worker_2,577284aeedc2cb3880fe8ca7,-2
2,worker_3,577284aeedc2cb3880fe8ca7,0
3,worker_4,577284aeedc2cb3880fe8ca7,3
4,worker_5,577284aeedc2cb3880fe8ca7,3
5,worker_6,577284aeedc2cb3880fe8ca7,1
6,worker_7,577284aeedc2cb3880fe8ca7,2
7,worker_8,577284aeedc2cb3880fe8ca7,1
8,worker_9,577284aeedc2cb3880fe8ca7,-3
9,worker_10,577284aeedc2cb3880fe8ca7,0
10,worker_1,57728500edc2cb3880ffb2bc,-2
11,worker_2,57728500edc2cb3880ffb2bc,-3
12,worker_3,57728500edc2cb3880ffb2bc,0
13,worker_4,57728500edc2cb3880ffb2bc,3
14,worker_5,57728500edc2cb3880ffb2bc,-1
15,worker_6,57728500edc2cb3880ffb2bc,-1
16,worker_7,57728500edc2cb3880ffb2bc,-3
17,worker_8,57728500edc2cb3880ffb2bc,1
18,worker_9,57728500edc2cb3880ffb2bc,0
19,worker_10,57728500edc2cb3880ffb2bc,2
20,worker_1,57728030edc2cb3880f07e00,0
21,worker_2,57728030edc2cb3880f07e00,-3
22,worker_3,57728030edc2cb3880f07e00,0
23,worker_4,57728030edc2cb3880f07e00,3
24,worker_5,57728030edc2cb3880f07e00,-2
25,worker_6,57728030edc2cb3880f07e00,-1
26,worker_7,57728030edc2cb3880f07e00,0
27,worker_8,57728030edc2cb3880f07e00,1
28,worker_9,57728030edc2cb3880f07e00,0
29,worker_10,57728030edc2cb3880f07e00,1
30,worker_1,57726f0dedc2cb3880b94625,3
31,worker_2,57726f0dedc2cb3880b94625,3
32,worker_3,57726f0dedc2cb3880b94625,1
33,worker_4,57726f0dedc2cb3880b94625,3
34,worker_5,57726f0dedc2cb3880b94625,3
35,worker_6,57726f0dedc2cb3880b94625,1
36,worker_7,57726f0dedc2cb3880b94625,3
37,worker_8,57726f0dedc2cb3880b94625,1
