model	nDCG	ACLT	ARP	Precision	ItemCoverage	EPC	Gini
MultiVAE_seed=42_e=20_bs=512_intermediate_dim=400_latent_dim=300_reg_lambda=0$0_lr=0$005_dropout_pkeep=0$0	0.353742702932299	973.6133333333333	12.514057777777778	0.006730000000000001	4094.0	0.008820796539619244	0.8697892298504222
MultiVAE_seed=42_e=20_bs=256_intermediate_dim=500_latent_dim=200_reg_lambda=0$0_lr=0$005_dropout_pkeep=0$0	0.4074803651419391	950.1166666666667	12.548786666666667	0.006744444444444444	4094.0	0.009225148447714887	0.8905000667806824
MultiVAE_seed=42_e=20_bs=512_intermediate_dim=500_latent_dim=200_reg_lambda=0$1_lr=0$0005_dropout_pkeep=0$0	0.25308062340331655	778.9633333333334	12.774757777777777	0.005677777777777778	4094.0	0.006433248119833509	0.8655401389906885
MultiVAE_seed=42_e=20_bs=128_intermediate_dim=500_latent_dim=300_reg_lambda=10_lr=0$01_dropout_pkeep=0$0	0.42524726446344147	926.33	12.586143333333332	0.00672	4094.0	0.009227144309515564	0.8955741466460357
MultiVAE_seed=42_e=20_bs=256_intermediate_dim=500_latent_dim=100_reg_lambda=0$1_lr=0$0005_dropout_pkeep=0$0	0.26739471523008573	718.4766666666667	12.850634444444445	0.0059544444444444445	4094.0	0.006825693023631179	0.817785355484974
MultiVAE_seed=42_e=20_bs=512_intermediate_dim=300_latent_dim=200_reg_lambda=0$1_lr=0$001_dropout_pkeep=0$0	0.2475881707420865	684.9866666666667	12.879158888888888	0.005651111111111112	4094.0	0.006384051528140783	0.8282265933707958
MultiVAE_seed=42_e=20_bs=512_intermediate_dim=300_latent_dim=100_reg_lambda=10_lr=0$001_dropout_pkeep=0$0	0.24998029386214332	641.0733333333334	12.926323333333332	0.005662222222222222	4094.0	0.006425857749570563	0.8044038873958248
MultiVAE_seed=42_e=20_bs=512_intermediate_dim=500_latent_dim=100_reg_lambda=0$1_lr=0$01_dropout_pkeep=0$0	0.4252624616971848	907.3466666666667	12.626125555555554	0.006732222222222223	4094.0	0.009472202239325862	0.877981841083693
MultiVAE_seed=42_e=20_bs=128_intermediate_dim=400_latent_dim=300_reg_lambda=0$0_lr=0$005_dropout_pkeep=0$0	0.43316264609596544	953.3666666666667	12.542441111111112	0.0067488888888888885	4094.0	0.00949149122122302	0.8855913228547385
MultiVAE_seed=42_e=20_bs=512_intermediate_dim=400_latent_dim=200_reg_lambda=0$1_lr=0$01_dropout_pkeep=0$0	0.3903459434273433	928.76	12.59319	0.006740000000000001	4094.0	0.009188012697740194	0.8787045123109917
MultiVAE_seed=42_e=20_bs=128_intermediate_dim=500_latent_dim=100_reg_lambda=0$1_lr=0$001_dropout_pkeep=0$0	0.3103318563438753	951.1	12.53804222222222	0.0067133333333333324	4094.0	0.008235317156841584	0.8554114737899392
MultiVAE_seed=42_e=20_bs=128_intermediate_dim=500_latent_dim=300_reg_lambda=0$1_lr=0$0005_dropout_pkeep=0$0	0.28093612292127995	849.88	12.644976666666667	0.006525555555555555	4094.0	0.007413699465659035	0.8624859022178784
